Date,Open,High,Low,Close,Adj Close,Volume
10/17/2016,30,30,25.65,25.65,24.801096,251900
10/18/2016,26.172001,26.172001,23.790001,24.440001,23.631144,349300
10/19/2016,24.860001,24.860001,24.15,24.26,23.4571,222700
10/20/2016,24.26,24.26,24.26,24.26,23.4571,0
10/21/2016,24.25,25.110001,24.25,24.92,24.095255,354600
10/24/2016,25.209999,25.43,24.85,25.23,24.394997,384600
10/25/2016,25,25.700001,24.5,24.52,23.708492,1305600
10/26/2016,24.26,24.889999,24.08,24.75,23.930882,1537700
10/27/2016,24.82,24.969999,24.66,24.83,24.008232,847100
10/28/2016,24.83,24.83,24,24.360001,23.553785,1666800
10/31/2016,24.5,24.77,24,24.24,23.437759,4294700
11/1/2016,24.51,27.135,24,26.190001,25.323225,87709200
11/2/2016,26.190001,27.4,26.190001,26.59,25.709988,15943800
11/3/2016,26.780001,27.1,26.639999,26.85,25.96138,7706500
11/4/2016,26.98,28.139999,26.851,27.58,26.667223,9972000
11/7/2016,27.870001,28.66,26.35,26.709999,25.826012,12851300
11/8/2016,25.98,27.26,25.610001,26.59,25.709988,11444800
11/9/2016,25.959999,26.610001,25.959999,26,25.139509,8522500
11/10/2016,26.26,26.780001,25.85,26,25.139509,8073500
11/11/2016,25.83,28.035,25.83,26.98,26.087076,7137200
11/14/2016,27.09,27.379999,25.68,25.879999,25.023483,4946600
11/15/2016,25.9,26.65,25.5,26.559999,25.680977,8663100
11/16/2016,26.4,27.610001,26.4,26.940001,26.048399,4773700
11/17/2016,27.16,27.215,26.93,27.09,26.193438,2739200
11/18/2016,27.139999,28.620001,27.030001,28.25,27.315044,4080400
11/21/2016,28.16,28.99,27.969999,28.92,27.962873,3358700
11/22/2016,28.959999,30.370001,28.959999,29.98,28.987789,6464900
11/23/2016,29.75,30.275,29.08,29.790001,28.804077,2751000
11/25/2016,29.780001,29.879999,27.690001,29.450001,28.475328,2468700
11/28/2016,29.309999,29.379999,28.219999,28.35,27.411737,3884000
11/29/2016,28.4,28.700001,27.809999,28.59,27.643793,3001200
11/30/2016,28.59,28.77,27.76,28.120001,27.18935,7216800
12/1/2016,28.200001,28.584999,27.82,28.25,27.315044,3484600
12/2/2016,27.870001,28.790001,27.5,28.15,27.218353,2818300
12/5/2016,28.23,28.540001,27.99,28,27.073322,2724200
12/6/2016,28.049999,28.389999,27.67,28.35,27.411737,8360900
12/7/2016,28.27,28.48,27.9,28.02,27.092657,3596100
12/8/2016,28.190001,28.290001,27.440001,28.02,27.092657,4637300
12/9/2016,27.940001,28.440001,27.92,28,27.073322,2989400
12/12/2016,27.75,27.84,26.32,26.450001,25.574619,3768200
12/13/2016,26.48,27.26,26.290001,27.02,26.125753,2702400
12/14/2016,26.68,27.945,26.68,27.040001,26.145094,1795200
12/15/2016,26.48,27.1,26.23,26.4,25.526272,2216200
12/16/2016,26.290001,26.42,25.9,26.18,25.313555,3376000
12/19/2016,26.02,26.49,25.68,25.92,25.062159,5160100
12/20/2016,25.9,27.028999,25.700001,26.67,25.787338,2814400
12/21/2016,26.530001,26.99,26.5,26.629999,25.748659,1195900
12/22/2016,26.4,26.57,25.99,26.16,25.294218,1095300
12/23/2016,26.059999,26.35,25.860001,26.01,25.149181,919900
12/27/2016,25.780001,26.129999,25.780001,25.870001,25.013815,2233400
12/28/2016,25.860001,26.01,25.780001,25.99,25.129843,1577200
12/29/2016,25.82,26.209999,25.82,26,25.139509,606700
12/30/2016,26.049999,26.209999,25.85,26.120001,25.255541,975800
1/3/2017,26.51,26.549999,26.02,26.24,25.371569,1440900
1/4/2017,26.32,26.690001,26.1,26.620001,25.738993,1206100
